Klíč_adresy,Adresa_GPS,Poslední_kontrola,Příští_kontrola,Dní_do_kontroly,Stav_kontroly,Barva_bodu,Všechny_termíny,GPS_lat,GPS_lon,GPS_poznámka,Zdrojový_soubor,Zdrojový_řádek,Rok výroby,Serviska,Hlídáme sami termín,Hlavní kontakt,Kraj,Jaký zdroj,Umístění,DŮLEŽITÁ POZNÁMKA,Měsíc_1,Měsíc_2,Měsíc_3,Měsíc_4,Měsíc_5,Měsíc_6,Měsíc_7,Měsíc_8,Měsíc_9,Měsíc_10,Měsíc_11,Měsíc_12,Sloupec_21,Poznámky,Cena FZ,Faktura na,Protokol s fakturou na,Smlouva ano/ne,Sloupec_27,Sloupec_28,Sloupec_29,Sloupec_30,Sloupec_31,Sloupec_32,Sloupec_33,Sloupec_34,Sloupec_35,Sloupec_36,Sloupec_37,Sloupec_38,Sloupec_39,Sloupec_40,Sloupec_41,Sloupec_42,Sloupec_43,Sloupec_44,Sloupec_45,Sloupec_46,Sloupec_47,Sloupec_48,Sloupec_49,Sloupec_50,Sloupec_51,Sloupec_52,Sloupec_53,Sloupec_54,Sloupec_55,Sloupec_56,Sloupec_57,Sloupec_58,Sloupec_59,Sloupec_60,Sloupec_61,Sloupec_62,Sloupec_63,Sloupec_64,Sloupec_65,Sloupec_66,Sloupec_67,Sloupec_68,Sloupec_69,Sloupec_70,Sloupec_71,Sloupec_72,Sloupec_73,Sloupec_74,Sloupec_75,Sloupec_76,Sloupec_77,Sloupec_78,Sloupec_79,Sloupec_80,Sloupec_81,Sloupec_82,Sloupec_83,Sloupec_84,Sloupec_85,Sloupec_86,Sloupec_87,Sloupec_88,Sloupec_89,Sloupec_90,Sloupec_91,Sloupec_92,Sloupec_93,Sloupec_94,Počet_termínů,Kontakt,Umístění zdroje,Sloupec_8,Cena FZ v Kč,Protokol na
"brno, bohunická, abt park, česká republika","Brno, Bohunická, ABT Park, Česká republika",,2026-08-19,107,Více než 60 dnů,zelená,2026-08-19 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",31,2024,,,,Jihomoravský,ASTIP STRONG 10kVA/3F-45 minut,,,,,,,,,,19/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Grošek 604 387 623,"Brno, Bohunická, ABT Park",,,
"brno, bořetická 3, česká republika","Brno, Bořetická 3, Česká republika",2022-06-07,2022-06-07,-1427,Po termínu,červená,2022-06-07 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",32,2016,,,,Jihomoravský,LiftBack 15kVA/3f-45 minut,,,,,,,,7/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Svoboda - 724 228 365,"Brno, Bořetická 3",,,
"brno, božetěchova 102b, česká republika","Brno, Božetěchova 102b, Česká republika",2026-03-04,2026-03-04,-61,Po termínu,červená,2026-03-04 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",33,2017,ano,,,Jihomoravský,PS 20 000VA/3f,,,,,4/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Peloušek 608 436 281,"Brno, Božetěchova 102b",,,
"brno, bratislavská 24, livix, česká republika","Brno, Bratislavská 24, LIVIX, Česká republika",,2026-11-21,201,Více než 60 dnů,zelená,2026-11-21 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",34,2017,,,,Jihomoravský,ASTIP STRONG 100kVA/3F -45 minut,,,,,,,,,,,,,21/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Burian 733 554 353,"Brno, Bratislavská 24, LIVIX",,,
"brno, bratislavská 52, efipalace, česká republika","Brno, Bratislavská 52, efiPalace, Česká republika",2026-02-04,2026-02-04,-89,Po termínu,červená,2026-02-04 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,17,2013,,,"Tereza Marková, 720 976 702",Jihomoravský,  STRONG 50 000/3f-60 minut,"Brno, Bratislavská 52, efiPalace",,,4/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"brno, bulínova 1, moravská zemská knihovna, česká republika","Brno, Bulínova 1, Moravská zemská knihovna, Česká republika",2025-12-15,2026-06-15,42,30–60 dnů,žlutá,2025-12-15 (proběhlá); 2026-06-15 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,30,2022,ano,,Daněk 771 278 805,Jihomoravský,ASTIP STRONG 34kVA/5kVA/3F-45 minut,"Brno, Bulínova 1, Moravská zemská knihovna",,,,,,,15/26,,,,,,15/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, bzenecká 13, 15, 17, česká republika","Brno, Bzenecká 13, 15, 17, Česká republika",,2027-04-02,333,Více než 60 dnů,zelená,2027-04-02 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",36,2014,,,,Jihomoravský,3x PS 20kVA/3f-45 minut,,,,,,"2/27-13,17 15-STOP STAV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Pavel Hrouzek - 734 238 045, 515511246","Brno, Bzenecká 13, 15, 17",,,
"brno, bzenecká 18, česká republika","Brno, Bzenecká 18, Česká republika",2021-06-07,2021-06-07,-1792,Po termínu,červená,2021-06-07 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",37,2018,,,,Jihomoravský,ASTIP PS Liftback 10 000/3F - 45 minut,,,,,,,,7/21,,,,,,,,"2025 -posílám znovu ...19.6.2024 -poslán dotaz panu Staňkovi, 7.6.2021 -stop stav, Tamča dělá nabídku na nový zdroj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jan Staněk - OTIS, 724 228 365","Brno, Bzenecká 18",,,
"brno, bzenecká 20, česká republika","Brno, Bzenecká 20, Česká republika",,2026-07-09,66,Více než 60 dnů,zelená,2026-07-09 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",38,2018,,,,Jihomoravský,"PS 10000/3f, 45 min",,,,,,,,,9/26,,,,,,,"teplota Tmax = 31,1°C, výtaháři upozorněni ústně a protokolem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"darina.jelinkova@cz.schindler.com, 605235325","Brno, Bzenecká 20",,,
"brno, bzenecká 8, česká republika","Brno, Bzenecká 8, Česká republika",2024-12-05,2024-12-05,-515,Po termínu,červená,2024-12-05 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",39,2016,,,,Jihomoravský,  15kVA/3f Rectifier,,,,,,,,,,,,,,5/24,,"l2025 -leden, Honza řeší ….Miloš Vondra, 606 676 110, předseda SVJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Otis - 724 228 365,"Brno, Bzenecká 8",,7200,
"brno, cejl 75, 77, dps, česká republika","Brno, Cejl 75, 77, DPS, Česká republika",2025-11-24,2026-05-24,20,7–30 dnů,oranžová,2025-11-24 (proběhlá); 2026-05-24 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,18,2020,,,pan Večeřa 702 209 323,Jihomoravský,ASTIP STRONG 15kVA/3F -45 minut,"Brno, Cejl 75,77, DPS",,,,,,24/26,,,,,,24/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, cejl 79, česká republika","Brno, Cejl 79, Česká republika",,2026-08-27,115,Více než 60 dnů,zelená,2026-08-27 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",40,2024,,,,Jihomoravský,ASTIP STRONG 30kVA/3F-45 minut,,,,,,,,,,27/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hauf 724 828 994,"Brno, Cejl 79",,,
"brno, chaloupkova 7, tyflocentrum, česká republika","Brno, Chaloupkova 7, Tyflocentrum, Česká republika",,2026-05-23,19,7–30 dnů,oranžová,2026-05-23 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",49,2020,,,,Jihomoravský,STRONG 4 000/3F - 30 minut + RPO,,,,,,,23/26,,,,,,,,,pan Strnad trvá na revizi 1 x ročně…mělo by být 2x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pan Strnad  724 027 482,"Brno, Chaloupkova 7, Tyflocentrum",,,
"brno, fn, netroufalky 1, budova j2, česká republika","Brno, FN, Netroufalky 1, budova J2, Česká republika",2026-02-13,2026-08-13,101,Více než 60 dnů,zelená,2026-02-13 (proběhlá); 2026-08-13 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,21,2017,,,Horňák 724 563 207,Jihomoravský,PS 20kVA/3f - 45 minut,"Brno, FN, Netroufalky 1 - budova J2",,,13/26,,,,,,13/26,,,,,,2024 objednaná oprava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, gajdošova 24 a 30, česká republika","Brno, Gajdošova 24 a 30, Česká republika",,2027-01-20,261,Více než 60 dnů,zelená,2027-01-20 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",42,2018,,,,Jihomoravský,PS 500/1F -45 minut,,,20/27,,,,,,,,,,,,,"ještě by měl být na Gajdošově 30 (500VA, 20061711)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Kesidisová 605215278,"Brno, Gajdošova 24 a 30",,,
"brno, gajdošova 26, česká republika","Brno, Gajdošova 26, Česká republika",,2026-09-17,136,Více než 60 dnů,zelená,2026-09-17 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",43,2014/nově 2024,,,,Jihomoravský,PS 5000/3F -10 minut,,,,,,,,,,,17/26,,,,,2024-komplet nový pajšl a výrobní číslo 24091001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jana MELOŠOVÁ
Telefon: +420 517 333 777","Brno, Gajdošova 26",,,
"brno, hlinky 995/70, polyfunkční dům, it administrativa, česká republika","Brno, Hlinky 995/70, polyfunkční dům, IT Administrativa, Česká republika",2026-02-04,2026-02-04,-89,Po termínu,červená,2026-02-04 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,22,2022,,,Nešpůrek 777 021 797,Jihomoravský,ASTIP PS 1500/3F-10 minut,"Brno, Hlinky 995_70, polyfunkční dům, IT Administrativa",,,4/26,,,,,,,,,,,,2022 - nový zdroj ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"brno, houbalova 6a, 6b + 10, česká republika","Brno, Houbalova 6A, 6B + 10, Česká republika",,2026-09-01,120,Více než 60 dnů,zelená,2026-09-01 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",44,"2014, 2017",,,,Jihomoravský,"2 x PS 3600/3F -7Min, STRONG 2000/3F/4C/1H",,,,,,,,,,,1/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Brno, Houbalova 6A, 6B + 10",B ,,
"brno, houbalova 8, česká republika","Brno, Houbalova 8, Česká republika",,2026-09-01,120,Více než 60 dnů,zelená,2026-09-01 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",45,2018,,,,Jihomoravský,"ASTIP STRONG 2000VA/3F -16,24 hodin",,,,,,,,,,,1/26,,,,,"2023 -zdroj dodávalo TRIDO, ještě jsou tam 3 k vratům, uvidíme, zda si budou objednávat revize ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Čejková 603 712 673,"Brno, Houbalova 8",,,
"brno, hrázní 1, česká republika","Brno, Hrázní 1, Česká republika",,2026-10-08,157,Více než 60 dnů,zelená,2026-10-08 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",46,2023,,ano,,Jihomoravský,ASTIP STRONG 50kVA/10kVA/3F-45 minut,,,,,,,,,,,,8/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Martin Pluhař
technický pracovník
+420 607 994 104
martin.pluhar@pcr.cz
www.policie.cz","Brno, Hrázní 1",,,
"brno, husova ulice, kryt, česká republika","Brno, Husova ulice, kryt, Česká republika",2022-04-13,,,Bez termínu,šedá,2022-04-13 (proběhlá); 2022-10-13 (nezjištěno),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,24,2020,,,pan Paleček 776 210 868,Jihomoravský,ASTIP STRONG 1000/1F-10 minut,"Brno, Husova ulice, kryt",,,,,13/22,,,,,,13/22,,,,"30.4.2025 -Lubovi řečeno, že zdroj už není…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, hviezdoslavova, dpmb vozovna slatina, česká republika","Brno, Hviezdoslavova, DPmB vozovna Slatina, Česká republika",2026-03-16,2026-03-16,-49,Po termínu,červená,2026-03-16 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,23,2017,,,Poledník 602 111 395,Jihomoravský,PS 40kVA + PS 50kVA,"Brno, Hviezdoslavova, DPmB vozovna Slatina",,,,16/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"brno, hybešova 49, česká republika","Brno, Hybešova 49, Česká republika",,2027-03-11,311,Více než 60 dnů,zelená,2027-03-11 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",47,"2018, new 2022",,poznámka,,Jihomoravský,STRONG 5000/3f – 10 minut,,,,,11/27,,,,,,,,,,,2027 -nutno vyměnit pomocku  -12Ah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Brno, Hybešova 49",,,
"brno, hybešova 63, oční studio žejdl, česká republika","Brno, Hybešova 63, oční studio Žejdl, Česká republika",2025-09-19,2025-09-19,-227,Po termínu,červená,2025-09-19 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",48,"2018, nově 2024",ano,,,Jihomoravský,"Strong 2000/3f, 45 min",,,,,,,,,,,19/25,,,,,nový zdroj 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Michal Hryciow, 727 909 288","Brno, Hybešova 63, oční studio Žejdl",,5500,
"brno, jakubská 126, 11, kostel sv jakuba, česká republika","Brno, Jakubská 126, 11, kostel sv Jakuba, Česká republika",2025-12-03,2026-06-03,30,30–60 dnů,žlutá,2025-12-03 (proběhlá); 2026-06-03 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,31,2024,ano,ano,Haičman 739 828 733,Jihomoravský,"ASTIP STRONG 4000VA/3F-45, 60 minut/EI60,","Brno, Jakubská 126,11,  kostel sv Jakuba",,,,,,,3/26,,,,,,3/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, jarmily kurandové 8, česká republika","Brno, Jarmily Kurandové 8, Česká republika",2023-04-19,2023-04-19,-1111,Po termínu,červená,2023-04-19 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",50,2017,,,,Jihomoravský,PBZ 1000/1f - 45 min,,,,,,19/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Šusterová - 608 081 158,"Brno, Jarmily Kurandové 8",,,
"brno, jedovnická 8a, ubytovna, česká republika","Brno, Jedovnická 8A, ubytovna, Česká republika",,2027-02-25,297,Více než 60 dnů,zelená,2027-02-25 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",51,2021,,,,Jihomoravský,ASTIP PS 37KVA/15kVA/3F - 45 minut,,,,25/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pan Antonov 544 135 145/604212601,"Brno, Jedovnická 8A, ubytovna",,,
"brno, jinačovice 512e, hoxter s.r.o, česká republika","Brno, Jinačovice 512e, Hoxter s.r.o, Česká republika",2026-01-13,2026-07-13,70,Více než 60 dnů,zelená,2026-01-13 (proběhlá); 2026-07-13 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,25,2017,ano,,"Popelka 703 149 138, Makovec 774 233 519",Jihomoravský,PS 3000/3f -10 minut,"Brno, Jinačovice 512e, Hoxter s.r.o",,13/26,,,,,,13/26,,,,,,,,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, kabátníkova 2, bd, česká republika","Brno, Kabátníkova 2, BD, Česká republika",,2026-09-16,135,Více než 60 dnů,zelená,2026-09-16 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",52,2021,ano,ano,,Jihomoravský,ASTIP STRONG 3 000VA/3F -45 minut,,,,,,,,,,,16/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Zatloukalová 724 354 330,"Brno, Kabátníkova 2, BD",,,
"brno, kamenomlýnská 2, sš, mš, zš pro znevýhodněné, česká republika","Brno, Kamenomlýnská 2, SŠ, MŠ, ZŠ pro znevýhodněné, Česká republika",2025-12-03,2026-06-03,30,30–60 dnů,žlutá,2025-12-03 (proběhlá); 2026-06-03 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,26,2023,ano,,pan Loula 778 457 877,Jihomoravský,STRONG 41kVA/15kVA/3F-10 minut,"Brno, Kamenomlýnská 2, SŠ ,MŠ, ZŠ pro znevýhodněné ",,,,,,,3/26,,,,,,3/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, kamínky 3, česká republika","Brno, Kamínky 3, Česká republika",,2027-03-04,304,Více než 60 dnů,zelená,2027-03-04 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",53,2016,,,,Jihomoravský,"PS 30kVA/22kW, 15 min",,,,,4/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Penčík - 608 700 676 údržba,"Brno, Kamínky 3",,8750,
"brno, karásek 2219/1d, lachema, česká republika","Brno, Karásek 2219/1d, Lachema, Česká republika",,2026-06-25,52,30–60 dnů,žlutá,2026-06-25 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",54,2024,,,,Jihomoravský,ASTIP STRONG 4kVA + 2kVA,,,,,,,,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hudec 770 164 679,"Brno, Karásek 2219/1d, Lachema",,,
"brno, kigginsova 2, bruno family park, česká republika","Brno, Kigginsova 2, Bruno family park, Česká republika",2025-11-12,2026-05-12,8,7–30 dnů,oranžová,2025-11-12 (proběhlá); 2026-05-12 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,27,"2015, nově 2023",,,"prcik@imosfacility.cz, 606 758 569",Jihomoravský,"1x 7500/3f, 1x 4000/3f-45 minut","Brno, Kigginsova 2, Bruno family park",,,,,,12/26,,,,,,12/25,,,"23.9.2024- 4kVA- KO, nabídka na komplet pajšl, vyměněno ...06/2023 -nový zdroj 7,5kVA                 7,5 kVA - 7.12.2020 - měnily se baterky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, kigginsova 4, 6, 8, česká republika","Brno, Kigginsova 4, 6, 8, Česká republika",,2026-06-25,52,30–60 dnů,žlutá,2026-06-25 (plánovaná); 2026-07-15 (plánovaná); 2026-12-03 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",55,2017.2016,,,,Jihomoravský,STRONG 7500/3f - 15 min.,,,,,,,,25/26-4,15/26-8,,,,,3/26-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Milan Svoboda 724261460, 533432514, IMOS","Brno, Kigginsova 4, 6, 8",,,
"brno, koniklecova 2, česká republika","Brno, Koniklecova 2, Česká republika",2026-02-24,2026-02-24,-69,Po termínu,červená,2026-02-24 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",56,2022,,,,Jihomoravský,ASTIP STRONG 62kVA/30kVA/3F-45 minut,,,,24/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machan Výtahy Brno -608 266 701,"Brno, Koniklecova 2",,,
"brno, koperníkova 1, bd, česká republika","Brno, Koperníkova 1, BD, Česká republika",2025-11-26,2026-05-26,22,7–30 dnů,oranžová,2025-11-26 (proběhlá); 2026-05-26 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,28,2020,ano,,Čejková 603 712673,Jihomoravský,ASTIP STRONG 40kVA/3F -60 minut,"Brno, Koperníkova 1, BD",,,,,,26/26,,,,,,26/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, kopečná 17, jircháře 2, česká republika","Brno, Kopečná 17, Jircháře 2, Česká republika",2021-05-11,2021-08-11,-1727,Po termínu,červená,2021-05-11 (proběhlá); 2021-08-11 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",58,2016,,,,Jihomoravský,"Strong 15kVA/3f, 30 min",,,,,,,11/21,,,11/21,,,,,,"info od Libora - 04/2021 - dokud nebude vše narovnáno, nejezdit a nedělat FZ, pí. Bronislava Lorencová, 731 620 361 - správce Avrio invest s.r.o. SVJ to nechce dělat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,otevírací paní 775 636 635,"Brno, Kopečná 17, Jircháře 2",,7500,
"brno, kopečná 34, bd, česká republika","Brno, Kopečná 34, BD, Česká republika",,2027-01-09,250,Více než 60 dnů,zelená,2027-01-09 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",59,2018,,,,Jihomoravský,ASTIP STRONG 1 000VA/1F -1H,,,9/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Martin Vítek,"Brno, Kopečná 34, BD",,,
"brno, kopečná, česká republika","Brno, Kopečná, Česká republika",2025-06-02,2025-06-02,-336,Po termínu,červená,2025-06-02 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",57,2014,,,,Jihomoravský,  PS 20 000/3f-35 minut,,,,,,,,2/25,,,,,,,,parkovací dům,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Schrack, Cachová, Nejedlý","Brno, Kopečná",,,
"brno, kotlářská 22, bd, česká republika","Brno, Kotlářská 22, BD, Česká republika",2026-01-28,2026-01-28,-96,Po termínu,červená,2026-01-28 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",61,2015,,,,jihomoravský,ASTIP PS 3000VA/3F/1F-10 minut,,,28/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Kejř 728 056 913,"Brno, Kotlářská 22, BD",,,
"brno, kotlářská 3, bd, česká republika","Brno, Kotlářská 3, BD, Česká republika",,2026-08-14,102,Více než 60 dnů,zelená,2026-08-14 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",60,2020,ano,ano,,Jihomoravský,ASTIP STRONG 15 kVA/3F -45 mint,,,,,,,,,,14/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tomáš PITROCHA IMOS - 604 222 030,"Brno, Kotlářská 3, BD",,,
